español,english
que,that
de,of
no,No
a,to
la,the
el,he
ser,be
y,and
en,in
lo,it
un,a
por,by
qué,that
me,me
un,a
te,tea
lo,it
se,HE
con,with
para,for
mi,my
estar,be
si,Yeah
bien,good
pero,but
yo,I
eso,that
la,the
sí,Yeah
su,his
tu,you
aquí,here
del,of the
al,to the
como,as
le,you
más,further
esto,this
ya,already
todo,all
esta,this
ir,go
muy,very
haber,have
ahora,now
algo,something
estar,be
tener,have
nos,us
tú,you
nada,nothing
cuando,when
haber,have
este,this
saber,know
estar,be
así,So
poder,can
cómo,as
querer,want
sólo,only
ser,be
tener,have
gracias,thank you
o,either
él,he
bueno,Well
ser ir,be go
ser,be
hacer,do
ser,be
todo,all
ser,be
ser,be
vez,time
tener,have
creer,believe
ella,she
haber,have
ese,that
ir,go
poder,can
saber,know
hola,hello
su,his
porque,because
dios,God
quién,who
nunca,never
dónde,where
querer,want
casa casar,house marry
favor,favor
ese,that
dos,two
tanto,so much
señor,Sir
tiempo,time
verdad,TRUE
estar,be
mejor,better
estar,be
ir,go
hombre,man
usted,you
mucho,a lot
hacer,do
entonces,so
sentir sentar,feel sit
tener,have
poder,can
ahí,there
ti,you
vida,life
ver,see
alguien,someone
señor,Sir
hasta,until
sin,without
mí,my
solo,only
año,year
sobre,about
decir,say
uno,one
siempre,always
oh,oh
ir,go
cosa coser,thing sew
también,also
antes,before
haber,have
ni,neither
mi,my
día,day
estar,be
estar,be
noche,evening
nadie,nobody
otro,other
querer,want
parecer,seem
nosotros,us
poco,bit
padre,father
trabajo trabajar,work work
gente,people
mirar,look
ir,go
ser,be
les,them
donde,where
mismo,same
hacer hecho,do done
ellos,they
decir,say
pasar,pass
dinero,money
hijo,son
tal,such
otro,other
hablar,talk
seguro,sure
claro,clear
este,this
lugar,place
mundo,world
amigo,friend
esperar espera,wait wait
mierda,shit
haber,have
tu,you
saber,know
después,after
momento,moment
desde,from
fuera ir ser,out go be
cosa coser,thing sew
tipo,guy
mañana,tomorrow
poder,can
decir,say
grande,big
necesitar,need
estar estado,be state
poder,can
acordar acuerdo,agree agreement
papá,dad
tener,have
decir,say
mío,mine
creer,believe
bueno buena,good good
gustar,like
nuestro,our
nuevo,new
ser,be
hacer,do
día,day
nombre,name
bueno,Well
haber,have
ver venir,see coming
tres,three
menos,less
deber,duty
tener,have
mal,evil
conmigo,with me
madre,mother
hoy,today
quien,who
ser,be
mamá,mother
tener,have
luego,then
todo,all
allí,over there
todo,all
hora,hour
mujer,women
ver,see
hacer,do
importar,matter
contigo,with you
ver ir,see go
tarde tardar,late late
oír,hear
partir parte,split part
haber,have
hombre,man
problema,problem
mas,further
saber,know
querer,want
aún,still
vez,time
nuestro,our
hacer,do
cada,each
hacer,do
ver,see
tanto,so much
razón,reason
usted,you
idea,idea
eso,that
ir,go
quizá,maybe
deber,duty
alguno,some
cierto,TRUE
usted,you
muerto morir,dead die
un,a
este,this
salir,go out
policía,police
realmente,really
demasiado,too much
familia,family
poder,can
cabeza,head
haber,have
amigo,friend
chico chica,boy girl
cariño,dear
lado,side
allá,there
entre,between
minuto,minute
decir,say
algún,some
serio,Serious
cuidar cuidado,care care
pasar,pass
bueno,Well
ser,be
amor,love
puerta,door
ver,see
ir,go
ah,oh
suerte,luck
eh,Hey
rápido,fast
contar cuenta,count count
quizás,maybe
ese,that
pues,well
pasar pasado,pass past
pensar,think
todavía,still
hermano,brother
deber,duty
casi,almost
forma,shape
aquí,here
chico,boy
ok,ok
decir dicho,say said
nuevo nueva,new new
saber,know
mucho,a lot
dentro,inside
hacer,do
contra,against
auto,car
camino caminar,path walk
ayuda ayudar,help help
primero primera,first first
hacia,toward
ver,see
miedo,fear
adiós,bye
primero,first
deber,duty
poder,can
niño,child
ser,be
historia,history
hey,hey
mientras,while
ciudad,city
decir,say
esperar,wait
cuánto,how much
esposa esposar,wife handcuff
pronto,soon
chico,boy
cualquier,any
viejo,old
deber,duty
dejar,leave
año,year
muerte,death
hablar,talk
mano,hand
dar,give
loco,crazy
problema,problem
mano,hand
guerra,war
semana,week
pasar,pass
valer vale,okay okay
cuál,which
venir,come
volver,return
tomar,take
caso casar,marry case
agua,water
hacer,do
ir,go
entender,understand
hora,hour
persona,person
capitán,captain
adelante,forward
niño,child
listo,ready
noche,evening
bueno,Well
ir,go
junto,together
dar,give
único,only
dejar,leave
cerca cercar,fence fence
otro,other
seguir,continue
grande,big
arriba,above
jefe,boss
hablar habla,speak speak
suponer,suppose
manera,manner
querer,want
feliz,happy
significar,mean
sangre,blood
fin,end
bajar bajo,go down low
llamar llama,call call
venir,come
morir,die
importante,important
hacer,do
ojo,eye
escuchar,hear
entrar,enter
ninguno,none
corazón,heart
diablo,devil
necesitar,need
atrás,back
durante,during
decir,say
nuestro,our
persona,person
abajo,below
doctor,doctor
hija,daughter
dejar,leave
necesitar,need
llegar,arrive
hacer,do
señora,lady
haber haya,there has been
suficiente,enough
doctor,doctor
gustar,like
tierra,land
cara,face
siquiera,even
genial,brilliant
creer,believe
suponer,suppose
tomar,take
equipo equipar,equipment equip
justo,fair
juego jugar,game play
ninguno,none
matar,kill
cinco,five
decir,say
amo amar,I love to love
cuándo,when
pequeño,little
alguno,some
conocer,know
clase,class
maldito,damned
un,a
mucho,a lot
haber,have
segundo,second
aunque,although
poder,can
decir,say
igual,equal
comida comer,food eat
ay,Oh
cuerpo,body
encontrar,find
fuerte,strong
vuelta volver,return return
venir,come
creer,believe
realidad,reality
saber,know
puta,bitch
deber,duty
pregunta preguntar,ask ask
ir ser,go be
cuatro,four
señora,lady
primero,first
trabajar,work
y,and
hacer,do
alto,high
maldito,damned
comer,eat
número,number
dar,give
necesitar,need
oportunidad,chance
punto,spot
mismo,same
último,last
afuera,outside
mujer,women
pensar,think
ir ser,go be
difícil,difficult
vivir,live
paso pasar,step pass
malo,bad
estar,be
vivir vivo,live alive
hacer,do
quedar,meet
hijo,son
mayor,elderly
fiesta,party
hacer,do
medio,half
alguno,some
bastar,be enough
arma armar,weapon arm
venir vino,come came
mes,month
cuarto,room
este,this
escuela,school
estar,be
dólar,dollar
tío,uncle
posible,possible
tener,have
fácil,easy
preocupar,worry
luz,light
ser,be
carajo,fuck
final,end
lista listo,ready list
tratar,treat
arma armar,weapon arm
hermana,sister
exactamente,exactly
chica,girl
poder,can
bastante,quite
seguridad,security
pasar,pass
esperar,wait
acá,here
teléfono,phone
perro,dog
fuego,fire
morir,die
tampoco,neither
solo,only
estar,be
ver,see
ir,go
tener,have
culpa culpar,blame blame
veras,you will see
adónde,where to
buscar,look for
cuanto,how much
padre,father
paz,peace
demonio,devil
estar,be
cual,which
perdón,sorry
así,So
jugar,play
pensar,think
esperar,wait
saber,know
recuerdo recordar,I remember remember
par,pair
joven,young
seguir,continue
pueblo,town
tener,have
caballero,gentleman
idiota,idiot
dar,give
minuto,minute
bebé,baby
único,only
lejos,far
nuestro,our
plan,plan
pensar,think
sentido sentir,sense feel
dormir,sleep
decir,say
palabra,word
correcto,correct
control,control
ver,see
entender,understand
país,country
seis,six
último,last
ésta,this
decir,say
poder,can
pequeña,small
callar,shut up
trato tratar,try try
rey,king
suceder,happen
muchacho,young guy
jamás,never
cama,bed
señorita,Miss
ayudar,help
acerca acercar,about
dar,give
cambio cambiar,change change
falta faltar,missing missing
hospital,hospital
llevar,carry
presidente,president
mil,thousand
gusto gustar,taste like
conocer,know
decir,say
os,you
ir,go
general,general
extraño extrañar,miss miss
semana,week
coche,car
peor bien,worse good
mucho,a lot
disculpar,excuse
decir,say
anoche,last night
perder,lose
ir,go
nave,nave
cielo,darling
haber,have
orden,order
seguro,sure
querida querido querer,dear dear want
niña,little girl
increíble,incredible
además,besides
deber,duty
libro,book
calle callar,silence street
café,coffee
pensar,think
hacer,do
especial,special
querer,want
ir,go
perfecto,perfect
buscar,look for
odio odiar,hate hate
pensar,think
oficina,office
hablar habla,speak speak
libre,free
agente,agent
Nueva York jamón york,New York ham
llamar,call
malo mala,bad bad
detrás,behind
ver,see
decir,say
grande,big
recordar,remember
real,real
estar,be
mío,mine
frente,forehead
perder,lose
llamar,call
muerto,dead
millón,million
asesino asesinar,murderer murder
sueño soñar,dream dream
querer,want
haber,have
hacer,do
viaje viajar,trip travel
probablemente,probably
resto,rest
estar,be
maldición,curse
lamento lamentar,I'm sorry to regret
muchacho,young guy
avión,plane
ropa,clothes
fuerza forzar,force force
llamado llamar,called call
oído oír,ear hear
dado dar,given give
encima,on
negro,black
usar,wear
información,information
ustedes,you
preguntar pregunta,ask question
tener,have
secreto,secret
volver,return
mirar,look
querer,want
hacer,do
acabar,end
otro,other
incluso,even
sentir sentar,feel sit
deber,duty
hacer haz,make beam
decir,say
boca,mouth
dolor,pain
baño bañar,bathroom bathe
adentro,inside
profesor,teacher
habitación,room
daño dañar,damage damage
tuyo,yours
ser,be
noticia,news
demás,others
querido querer,wanted want
duro durar,hard last
poner,put
prueba probar,try try
mirar,look
tonto,silly
campo campar,camping field
ser,be
diez,ten
ese,that
tranquilo,don't worry
asunto,affair
acabar,end
quedar,meet
derecho,right
placer,pleasure
recordar,remember
estar,be
tratar,treat
ejército,army
futuro,future
llevar,carry
compañía,company
venir,come
listo,ready
hacer,do
sitio,place
ver,see
puesto poner,put put
atención,attention
sino,but
cambiar,change
error,mistake
blanco,white
raro,queer
palabra,word
llegar,arrive
sal salir,go out
pasar,pass
mente,mind
sistema,system
película,movie
andar,walk
ello,it
negocio negociar,business negotiate
novia,bride
permiso,permission
creer,believe
sonar,dream
ocurrir,occur
oficial,official
esperar,wait
aire,air
matar,kill
regresar,go back
ver,see
hacer,do
trasero,rear
grupo,cluster
entender,understand
señorita,Miss
música,music
perra,bitch
conocer,know
empezar,begin
sentir sentar,feel sit
acabar,end
estúpido,idiot
diferente,different
traer traje,bring suit
modo,mode
encontrar,find
mensaje,message
llamada llamar,call call
navidad,Christmas
ser,be
pena penar,sorrow to grieve
largo largar,long long
entrar,enter
piso pisar,floor step
foto,photo
decir,say
médico,doctor
accidente,accident
ir ser,go be
imposible,impossible
poder,can
línea,line
propio,own
barco,ship
ganar,gain
normal,normal
segundo,second
vivir,live
mitad,half
querer,want
tras,after
decir,say
lindo,nice
funcionar,work
programa,program
venir,come
abrir,open
ser,be
pagar,pay
foto,photo
centro centrar,center center
suponer,suppose
basura,trash
situación,situation
mejor,better
venir,come
encantar,love
marido,husband
personal,staff
maestro,teacher
hambre,hunger
ataque atacar,attack attack
culo,ass
dar,give
pie,foot
conseguir,get
trabajar,work
gracioso,funny
dejar,leave
poder,can
derecha,right
izquierda,left
próximo,next
pobre,poor
respuesta,answer
tipo,guy
sentir,feel
tener,have
poder,can
dar,give
voz,voice
amiga,friend
gustar,like
vista ver,sight see
salvo salvar,save save
loco,crazy
hotel,hotel
hacer,do
tener,have
temer,fear
señal,sign
pelo pelar,hair peeling
llevar,carry
ayer,yesterday
dar,give
nena,chick
servicio,service
tren,train
bonito,pretty
mes,month
tener,have
tener,have
edad,age
ellas,they
hermoso,beautiful
honor,honor
simplemente,simply
llamar llama,call call
tener,have
correr,run
bajo baja,low low
sol,sun
sentar,sit
dar,give
humano,human
divertido divertir,fun amuse
sexo,sex
vuelto volver,come back
peligro peligrar,danger endanger
mesa,table
siguiente,following
hablar,talk
disculpa disculpar,excuse excuse
decir,say
caja,box
negocio negociar,business negotiate
misión,mission
silencio,silence
salir,go out
llegar,arrive
estar,be
regreso regresar,return return
media medio,half half
estar,be
propio,own
oro orar,gold pray
enseguida,immediately
lindo,nice
prometer,pledge
esposo esposar,husband handcuff
norte,north
haber,have
jurar,swear
muerto morir,dead die
interesante,interesting
pensar,think
buscar busca,search search
terminar,finish
tener,have
completamente,completely
cita citar,quote quote
siete,seven
cumpleaños,birthday
abogado,lawyer
alrededor,around
cerebro,brain
porqué,because
llave,key
santo,holy
hermoso,beautiful
necesario,necessary
edificio,building
ir,go
aun,still
tener,have
ir,go
dar,give
traer,bring
salir,go out
ley,law
ahí,there
verdadero,TRUE
pelea pelear,fight fight
banco,bank
terrible,terrible
calma calmar,calm calm
cena cenar,dinner dinner
dar,give
gobierno,government
comprar,buy
creer crear,believe create
sargento,sergeant
destino,destination
existir,exist
hacer,do
novio,boyfriend
sala,hall
través,through
regalo regalar,gift give
iglesia,church
decir,say
cualquiera,any
excelente,excellent
esperar,wait
deseo desear,wish wish
alma,soul
diablo,devil
dejar,leave
cuántos,how many
espada,sword
estar,be
carne,meat
maravilloso,marvelous
vida,life
suceder,happen
oír,hear
peligroso,dangerous
dirección,address
libertad,freedom
Jesús,Jesus
ocurrir,occur
ver,see
sueño,dream
poder,can
detective,detective
sorpresa,surprise
tuyo,yours
pie,foot
club,club
terminar,finish
infierno,hell
creer,believe
luna,moon
salvar,save
carta,letter
estar,be
cielo,darling
teniente,lieutenant
encontrar,find
ver,see
querer,want
escuchar,hear
necesitar,need
ambos ambo,both both
decisión,decision
enemigo,enemy
hacer,do
dulce,sweet
prueba probar,try try
querer,want
abuelo,grandfather
totalmente,completely
mirar,look
ir,go
carrera,career